Date,Time,Presenters,PresentersWebsites,PaperAuthors,PaperTitles,PaperConferences,PaperLinks,Slides,Location,Category,
4/11/16,1-2pm,Mahmoud Azab; Mingzhe Wang,http://web.eecs.umich.edu/~mazab/; ,"Tapaswi, Makarand et al",MovieQA: Understanding Stories in Movies through Question Answering,IEEE CVPR 2016,http://arxiv.org/pdf/1512.02902v1.pdf,,BBB 3941,LIT,
3/28/16,3-4pm,Verónica Pérez Rosas,https://scholar.google.com/citations?user=yatiIigAAAAJ&hl=en,"Niculae, Vlad et al",Linguistic Harbingers of Betrayal: A Case Study on an Online Strategy Game,ACL 2015,https://aclweb.org/anthology/P/P15/P15-1159.pdf,,BBB 3941,LIT,
3/14/16,3-4pm,Dan Pressel,,"dos Santos, Cıcero and Bianca Zadrozny; dos Santos, Cıcero and Victor Guimaraes",Learning Character-level Representations for Part-of-Speech Tagging; Boosting Named Entity Recognition with Neural Character Embeddings,ICML 2014; ACL 2015 NER Workshop,http://jmlr.csail.mit.edu/proceedings/papers/v32/santos14.pdf; http://www.aclweb.org/anthology/W15-3904,https://rawgit.com/dpressel/Meetups/master/nlp-reading-group-2016-03-14/presentation.html#1,BBB 3941,LIT,
2/22/16,3-4pm,Konstantinos Pappas,http://lit.eecs.umich.edu/~pappus/,"Bamman, David, Chris Dyer and Noah A. Smith",Distributed Representations of Geographically Situated Language,ACL 2014,http://homes.cs.washington.edu/~nasmith/papers/bamman+dyer+smith.acl14.pdf,http://lit.eecs.umich.edu/wp-content/uploads/2016/02/geographically_situated_language.pdf,BBB 3941,LIT,
2/8/16,3-4pm,Laura Wendlandt,http://www.laurawendlandt.com,"Miller, Tristan and Iryna Gurevych",Automatic disambiguation of English puns,ACL 2015,http://anthology.aclweb.org/P/P15/P15-1070.pdf,http://lit.eecs.umich.edu/wp-content/uploads/2016/02/automatic_disambiguation_of_english_puns.pdf,BBB 3941,LIT,
1/25/16,3-4pm,Steven Wilson,http://nlp.eecs.umich.edu/~steverw,"Wieting, John, et al",From Paraphrase Database to Compositional Paraphrase Model and Back,TACL 2015,http://ttic.uchicago.edu/~wieting/wieting2015TACL.pdf,http://lit.eecs.umich.edu/wp-content/uploads/2016/01/wieting_paraphrases.pptx,BBB 3941,LIT,
12/9/15,2:30-3:30pm,Blake Miller,http://www.blakeapm.com/,"Miller, Blake",Automatically Detecting Regime Commentators in Chinese Online News Media,[work in progress],,,BBB 2901,LIT,
11/18/15,2:30-3:30pm,Xin Rong,http://www-personal.umich.edu/~ronxin/,"Levy, Omer and Yoav Goldberg; Bansal, Mohit et al",Dependency-Based Word Embeddings; Tailoring Continuous Word Representations for Dependency Parsing,ACL 2014; ACL 2014,http://www.aclweb.org/anthology/P14-2050.pdf; http://ttic.uchicago.edu/~mbansal/papers/acl14_parsingEmbeddings.pdf,https://levyomer.files.wordpress.com/2014/06/dependency-based-word-embeddings-acl-2014.pptx; http://ttic.uchicago.edu/~mbansal/papers/acl14_parsingEmbeddings_slides.pdf,BBB 2901,LIT,
11/4/15,2:30-3:30pm,Verónica Pérez Rosas,https://scholar.google.com/citations?user=yatiIigAAAAJ&hl=en,"Can, Dogan et al",A Case Study: Detecting Counselor Reflections in Psychotherapy for Addictions using Linguistic Features,INTERSPEECH 2012,http://www-scf.usc.edu/~dogancan/files/dogancan-is12.pdf,,BBB 2901,LIT,
10/21/15,2:30-3:30pm,Reed Coke,http://www-personal.umich.edu/~reedcoke/,"Tai, Sheng Kai et al",Improved Semantic Representations from Tree-Structured Long Short-Term Memory Networks,ACL 2015,http://arxiv.org/pdf/1503.00075v3.pdf,http://lit.eecs.umich.edu/wp-content/uploads/2015/10/tree-lstms.pptx,BBB 2901,LIT,
10/7/15,2:30-3:30pm,Shibamouli Lahiri,http://web.eecs.umich.edu/~lahiri/,"Zhao, Wayne Xin, et al",Topical keyphrase extraction from twitter,ACL 2011,http://www.mysmu.edu/faculty/jingjiang/papers/ACL'11.pdf,http://lit.eecs.umich.edu/wp-content/uploads/2015/10/topical_keyphrase_extraction_from_twitter.pptx,BBB 2901,LIT,
9/30/15,2:30-3:30pm,Steven Wilson,http://nlp.eecs.umich.edu/~steverw,"Chang, Jonathan, et al",Reading tea leaves: How humans interpret topic models,NIPS 2009,http://machinelearning.wustl.edu/mlpapers/paper_files/NIPS2009_0125.pdf,http://lit.eecs.umich.edu/wp-content/uploads/2015/10/reading_tea_leaves.pptx,BBB 2901,LIT,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
